i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
sure hope best buy will replace it asap .|||O O O O O O O O O
i babyed the heck out of it and i still do .|||O O O O O O O O O O O O
handles all my basic media needs easily .|||O O O O O O O O
just what the doctor ordered .|||O O O O O O
if you do n't feel comfortable doing it yourself , just buy the case and be happy , plus it looks nice , i bought the white one from best buy .|||O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
the reaction of toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .|||O O O O O O O O B-AP O O O O O B-AP O O O O O O O B-AP O O O B-AP O O O O O O O
excellent speed for processing data .|||O B-AP O O O O
all in all , i 'm incredibly dissatisfied with this laptop , and with hp as a whole .|||O O O O O O O O O O O O O O O O O O O
i am not happy at all with the product i purchased .|||O O O O O O O O O O O O
when you call tech support you were routed to someone who was in another country and did not know what they were doing .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
it has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .|||O O O O O B-AP O O O O O O O O O O O O O O O O O B-AP O
i was taught to use photoshop and was amazed .|||O O O O O B-AP O O O O
it 's a mac ! !|||O O O O O O
it was weird .|||O O O O
i can hardly wait to see whats around the next corner .|||O O O O O O O O O O O O
the apple pro notebook will not let you down .|||O O O O O O O O O O
i did a review on it , its awesome .|||O O O O O O O O O O
before we got this laptop , had a compaq pasaro for 5 years with no problems .|||O O O O O O O O O O O O O O O O O
i tried out another mac for a few months before buying this one and it is a great machine .|||O O O O O O O O O O O O O O O O O O O O
somehow the system clock got messed up after reboot .|||O O B-AP I-AP O O O O O O
the only problem is that i had to add 1 gb ram , the computer was kinda slow .|||O O O O O O O O O O O B-AP O O O O O O O
with the macbook pro it comes with freeaspect0 to protect it from viruses and other intrusive things from downloads and internet surfing or emails .|||O O O O O O O O O O O O O O O O O O O O O O O O O
the computer could have been shipped by priority mail through the usps for the same cost and arrived by noon on tue .|||O O O O O O O O O O O O O O O O O O O O O O O
i visited the apple store and was impressed with the 17-inch macbook pro .|||O O O O O O O O O O O O O O
the driver updates do n't fix the issue , very frustrating .|||O B-AP I-AP O O O O O O O O O
i will never go back to windows !|||O O O O O O B-AP O
do your research on this issue .|||O O O O O O O
looking to take my video and photo editing to the next level , i decided to purchase the mbp 15in intel core i5 after reading consumer reviews as well as professional reviews of this laptop .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it doesnt work worth a damn .|||O O B-AP O O O O
hp pavilion dv9000 notebook pc when i first got this computer , it really rocked .|||O O O O O O O O O O O O O O O O
it works really well .|||O B-AP O O O
it has happened again and i 'm being told that it 's $ 175 .|||O O O O O O O O O O O O O O O
bigger hd , better graphics card , and a bid hd .|||O B-AP O O B-AP I-AP O O O O B-AP O
lord have mercy !|||O O O O
the built in camera is very useful when chatting with other techs in remote buildings on our campus .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O
no big deal .|||O O O O
mine came at $ 1,700 w/o a dvd burner ! .|||O O O O O O O B-AP I-AP O O
the dvd burner broke after burning 3 dvd 'd during that time !|||O B-AP I-AP O O O O O O O O O O
it works fine with our wireless and they 've had not problems .|||O B-AP O O O O O O O O O O O
but you must get the 15 inch .|||O O O O O B-AP I-AP O
i will be returning it and switching brands when i get to best buy .|||O O O O O O O O O O O O O O O
product support very poor as each phone call costs me long distan|||B-AP I-AP O O O O O O O O O O
overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .|||O O O O O O O B-AP O O B-AP O O O O O O O O O O
the casing of the power cord fried and shocked my husband when he pulled it out of the socket .|||O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
it does not keep internet signals no matter where you bring it .|||O O O O B-AP I-AP O O O O O O O
apple is one of the best computer companies in the country .|||O O O O O O O O O O O O
please make these !|||O O O O
frustrated i hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time .|||O O O O O O O O O O O O O O O O O O O O O O O O
after the first few months , the computer started crashing about every week .|||O O O O O O O O O O O O O O
my son and his family have a hard time financially because he is self-employed so the family had no computer of any kind , and kyle the oldest child is 12 and really need something to help him in school .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it 's a great product for a great price !|||O O O O O O O O B-AP O
again , the same problem , the right speaker did not work .|||O O O O O O O B-AP I-AP O O O O
but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O B-AP O
before i bought my new i5 , i did my research for about 2 weeks and determined to move for hp to apple for reliability , dependable , and long lasting operations .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
dell wanted to charge us for everything everytime i called them with a problem .|||O O O O O O O O O O O O O O O
this has been nothing but a headache since we purchased it .|||O O O O O O O O O O O O
i have had my dell latitude for almost three years .|||O O O O O O O O O O O
may be better for the occasional web surfer .|||O O O O O O O O O
and the multiple page viewer allows you to press one button to see every separate page currently opened at the same time in one screen are great for those who are working non stop or just shopping online .|||O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
this was the 3rd day and part still had not been shipped .|||O O O O O O O O O O O B-AP O
obviously we both got new macs .|||O O O O O O O
my iphone synced right up just like a person would expect , unlike the pcs in our lives .|||O O O O O O O O O O O O O O O O O O O
that being said after 2 weeks of owning every time i start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it 's fun to take to a bookstore , sit in the coffee shop area , sign in to wifi and look up book reviews of books i might buy .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
not super fancy , but not super expensive either .|||O O O O O O O O O O
keyboard good sized and wasy to use .|||B-AP O O O O O B-AP O
hp said it was out of warranty .|||O O O O O O B-AP O
-stay away from apple , or hope you laptop does not break down .|||O O O O O O O O O O O O O O
it 's a great prodcut to handle basic computing needs .|||O O O O O O O O O O O
i never had this kind of quality issue with dell not to say dell is that great , not with a brand new laptop .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O O
wonderful features .|||O B-AP O
the laptop was really good and it goes really fast just the way i thought it would of run .|||O O O O O O O O O O O O O O O O O O O O
i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
im glad that it has such great features in it .|||O O O O O O O B-AP O O O
it 's just a great toy to have around .|||O O O O O O O O O O
i like those programs better than office and you can save your files to be completely compatible with the office programs as well .|||O O O B-AP O O B-AP O O O O O O O O O O O O B-AP I-AP O O O
great wifi too .|||O B-AP O O
when typing , letters and spaces are frequently omitted requiring the user to redo many words and sentences .|||O B-AP O O O O O O O O O O O O O O O O O
only a few days after i received the computer back , the screen froze again .|||O O O O O O O O O O O O B-AP O O O
it is not ideal for children because of the temp .|||O O O O O O O O O B-AP O
sounds like a typewriter , but if you can get past that , this is a great laptop for a little money !|||O O O O O O O O O O O O O O O O O O O O O O O
when this happened i would have to completely power off my computer and restart it .|||O O O O O O O O O O O O O O O O
although i do believe that windows operating system may be to fault for some of the problems .|||O O O O O B-AP I-AP I-AP O O O O O O O O O O
great os , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .|||O B-AP O O O O O O O O O O B-AP I-AP O O O B-AP I-AP O
i or my dad paid over twenty four hundred dollars for everything .|||O O O O O O O O O O O O O
the lcd screen stopped working on mine after 10 months .|||O B-AP I-AP O O O O O O O O
that includes transferring my music and movies .|||O O O O O O O O
images are crisp and clean .|||B-AP O O O O O
took that one home , same thing .|||O O O O O O O O
i 'm going back to pc .|||O O O O O O O
great , quick laptop for the money .|||O O O O O O O O
although its windows vista compared to windows xp sucks .|||O O B-AP I-AP O O B-AP I-AP O O
we have had numerous problems with vista , such as adobe flash player just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been update probably 400 times , the same update .|||O O O O O O B-AP O O O B-AP I-AP I-AP O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O B-AP O O O O O O B-AP O
the dell mini was the first dell product that i had ever purchased .|||O O O O O O O O O O O O O O
with the switch being at the top you need to memorize the key combination rather than just flicking a switch .|||O O B-AP O O O O O O O O O O O O O O O O B-AP O
my mac has gone from being a trusted friend to an adversary .|||O O O O O O O O O O O O O
one more tip , please purchase this model and get a 4gb stick of ram to save you $ 10|||O O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O
by week two , my laptop had overheated and was completely dead even though i did not use it too much .|||O O O O O O O O O O O O O O O O O O O O O O
and it is impossible to get them back in .|||O O O O O O O O O O
my last laptop gave me a constant battle even though it was also completely new .|||O O O O O O O O O O O O O O O O
i have been a mac user since the mid 90s .|||O O O O O O O O O O O
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard !|||O O O O O O O O O O B-AP O O O O O O B-AP I-AP I-AP O O B-AP O
after the bad experience with this computer went back to compaq .|||O O O O O O O O O O O O
finally after months of research the discovered that they mailed it to a walmart and there probably would be no way to find the box .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
it does n't heat up like my old laptop .|||O O O O O O O O O O
i always have used a tower home pc and jumped to the laptop and have been very satisfied with its performance .|||O O O O O O O O O O O O O O O O O O O O B-AP O
it 's solid .|||O O O O
before i got my macbook , i owned a dell laptop .|||O O O O O O O O O O O O
this laptop is the most amazing little peice of machinery i have owned outside of the iphone .|||O O O O O O O O O O O O O O O O O O
the computer runs very fast with no problems and the ilife software that comes with it iphoto , imovie , iweb , itunes , garageband is all very helpful as well .|||O O B-AP O O O O O O O B-AP I-AP O O O O B-AP O B-AP O B-AP O B-AP O B-AP O O O O O O O
at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again .|||O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
until i bought the dell , i thought you just looked for what you wanted size , software , options , hardware and purchase the best deal you could find .|||O O O O O O O O O O O O O O O B-AP O B-AP O O O B-AP O O O O O O O O O
i do n't know how i could ever live without my qousmio .|||O O O O O O O O O O O O O
it has plenty of memory , lots of hard drive , and great graphics .|||O O O O B-AP O O O B-AP I-AP O O O B-AP O
it did n't take me long to get switched over to the mac computer programs and navigation , it 's been just fine and like the way this laptop functions much better .|||O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O
it lasted for many years of travel , kids and abuse and if i fired it up today , it would work .|||O O O O O O O O O O O O O O O O O O O O O O O
been a pc user for many , many years .|||O O O O O O O O O O
i have never had any issues or problems with my macbook pro so far , and it is still as fast as it was when i first bought it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it freezes , and it always shows that there is an error , so i have to restart it a few times every time i use it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O
however , my girlfriend realized that the netbook 's hinge is a bit loose when you open or close the lcd .|||O O O O O O O O O B-AP O O O O O O O O O O B-AP O
my problem was with dell customer service .|||O O O O B-AP I-AP I-AP O
there are so many things wrong with this product , it just makes me want to set my self on fire !|||O O O O O O O O O O O O O O O O O O O O O O
it is not even a year old yet , so i would definitely not recommend it to anyone .|||O O O O O O O O O O O O O O O O O O O
amazing machine .|||O O O
i do n't do any high tech stuff on it , just write papers , check mail , and sometimes play games , so i ca n't reccomend it if you are in the computer field .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
newegg 's rma service was great as always , i contacted them late friday night , and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday .|||O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i 'm very impressed .|||O O O O O
dell sucks|||O O
design , very durable .|||B-AP O O O O
it is easy to go from one keyboard to another .|||O O O O O O O B-AP O O O
i spoke to 4 different people and was told they needed to transfer me to a 5th person !|||O O O O O O O O O O O O O O O O O O O
the mac book pro performs flawlessly .|||O O O O O O O
has a 5-6 hour battery life .|||O O O O B-AP I-AP O
my only issues are , 1 the screen/video resolution wo n't increase to a higher resolution then 1024 x 60|||O O O O O O O B-AP I-AP O O O O O O B-AP O O O O
i run dreamweaver , final cut pro 7 , photoshop , safari , firefox , msn messenger and a few other applications constantly at the same time .|||O O B-AP O B-AP I-AP I-AP I-AP O B-AP O B-AP O B-AP O B-AP I-AP O O O O B-AP O O O O O O
i have owned many computers and laptops .|||O O O O O O O O
i recently purchased the mini and absolutely love it !|||O O O O O O O O O O
does a great job with video shot on a canon 5d mkii .|||O O O O O O O O O O O O O
i was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the warrenty was up , then it got really bad .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O
ive had to call tech support many times .|||O O O O B-AP I-AP O O O
the apple applications exaspect1 are fun , easy , and really cool to use unlike the competition ! .|||O B-AP I-AP O O O O O O O O O O O O O O O O
yes , i have it on the highest available setting .|||O O O O O O O O O O O
not to mention it has shit gigs .|||O O O O O O B-AP O
hieroglyphics are quite common .|||O O O O O
this worked just fine .|||O O O O O
i paid for extra memory and the 17-inch screen , as well as the top of the line dvd and cd burners .|||O O O O B-AP O O B-AP I-AP O O O O O O O O O B-AP O B-AP I-AP O
its pretty fast and does not have hiccups while i am using it for web browsing , uploading photos , watching movies 720p on occasion and creating presentations .|||O O O O O O O O O O O O O O B-AP I-AP O B-AP I-AP O B-AP I-AP O O O O B-AP I-AP O
i was so happy with my new mac .|||O O O O O O O O O
quality display i love hp , , it 's the only computer/printer we will buy .|||B-AP I-AP O O O O O O O O O O O O O O
despite the inconvenient weight , i opted for the 12 cell battery .|||O O O B-AP O O O O O B-AP I-AP I-AP O
my macbook is faster than any comparable pc .|||O O O O O O O O O
the case is carved out of a single block of aluminum .|||O B-AP O O O O O O O O O O
i 'm very happy with this machine !|||O O O O O O O O
i do not recommend this company or their products ! ! ! !|||O O O O O O O O O O O O O
i like this machine because its very lightweight .|||O O O O O O O O O
first it burned or fused the power adapter plug .|||O O O O O O B-AP I-AP I-AP O
the features are great , the only thing it needs is better speakers .|||O B-AP O O O O O O O O O O B-AP O
it was still working , but there was nothing on the screen .|||O O O O O O O O O O O B-AP O
i bought this laptop and found its tab is not functioning .|||O O O O O O O B-AP O O O O
toshiba is aware of the issue but unless the extended warrenty is bought toshiba will do nothing about it .|||O O O O O O O O O B-AP I-AP O O O O O O O O O
hp said i had done the damage .|||O O O O O O O O
-called headquarters again , they report that tft panel is broken , should be fixed by the end of the week week 3 .|||O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O
navigation through the computer is far superior compared to windows operating systems , as well .|||B-AP O O O O O O O O B-AP I-AP I-AP O O O O
i would recommend this product .|||O O O O O O
if i had to buy another computer , i would most definetly buy an acer one computer .|||O O O O O O O O O O O O O O O O O O
the screen is framed by half to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .|||O B-AP O O O O O O O O O O O O O O O B-AP O O O O B-AP O
though the picture , video , and music software is nowhere close to professional grade software im used to cs5 but does the job for beginner and even intermediate media designers .|||O O B-AP O B-AP O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O O O O O
i previously owned an hp desktop and a dell laptop .|||O O O O O O O O O O O
everything else just install and go .|||O O O O O O O
this thing is a lemon .|||O O O O O O
my laptop is almost 2yrs old and i have never had any problems with it .|||O O O O O O O O O O O O O O O O
all the customers that come in hate dell .|||O O O O O O O O O
we now own two of these , identical .|||O O O O O O O O O
i 've already recommended this laptop to a friend who eye 'd the computer when i took it out of my bag .|||O O O O O O O O O O O O O O O O O O O O O O O
i enjoy very much my new toshiba , purchased specifially for attending online schooling .|||O O O O O O O O O O O O O O O
once you go mac , you ca n't go back !|||O O O O O O O O O O O
i brought this laptop last friday , and originally it worked fantastic .|||O O O O O O O O O O O O O
the much lauded combined touch pad and clicker is a nightmare .|||O O O B-AP I-AP I-AP I-AP I-AP O O O O
the unibody construction is solid , sleek and beautiful .|||O B-AP I-AP O O O O O O O
they 're easy , fun , powerful and will last a long time .|||O O O O O O O O O O O O O O
i want my l505-s5988 back !|||O O O O O O
i let my friend borrow it , and she knows nothing about computers , and she used it with ease .|||O O O O O O O O O O O O O O O O O O O O O
this macbook is an outstanding product with great value .|||O O O O O O O O B-AP O
if that is the case for you , i would suggest a pull-behind solution when looking at cases .|||O O O O O O O O O O O O O O O O O O O
i had to re-install windows within two weeks of the purchase and soon discovered cracks in the screen hinges .|||O O O O B-AP O O O O O O O O O O O O B-AP I-AP O
a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service .|||O O O O O B-AP O O O O O O B-AP I-AP O O O O O O O O O O O O B-AP O
and plenty of storage with 250 gbthough i will upgrade this and the ram .|||O O O B-AP O O O O O O O O O B-AP O
i had to call apple 19 times each time 40 to 75 minutes on the phone , and take it to their store for evaluations , and diagnostics , 5 times .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
no temporary replacement , they are out of replacements because many computers had problems with the nvidia chipset status of repair .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O O
i took it to friend who temporarily fixed it and i finally paid about 1500 for the extended warranty .|||O O O O O O O O O O O O O O O O O B-AP I-AP O
i respond that i do not have the old computer .|||O O O O O O O O O O O
i homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat .|||O O O O O O O O O O O O O O O O O O O O O O O
programs would crash all the time , and it turned out to be a very unstable , unreliable laptop for me .|||B-AP O O O O O O O O O O O O O O O O O O O O O
i bought this lap top and the charge time dose n't last as long as they say it will more like 2 hours|||O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
also , because of the size and consistancy of the laptop computer , some websites would n't even attempt to work on the computer because of browser problems .|||O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O O
i work with kids and they love making short videos on there .|||O O O O O O O O O O O O O
it is very durable , i am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet .|||O O O O O O O O O O O O O O O O O O O O O O O O O
the key bindings take a little getting used to , but have loved the macbook pro .|||O B-AP I-AP O O O O O O O O O O O O O O
keyboard is reasonable size .|||B-AP O O B-AP O
instead it is sitting in west verginia waiting for ups to take two days to send me a box and two days for them to ship the computer some 691 miles by air ? to louisville ky .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i 'm now trying to decide on another dell model .|||O O O O O O O O O O O
i find myself using the 10-key more than i thought i would .|||O O O O O B-AP O O O O O O O
the macbook is a fantastic laptop .|||O O O O O O O
fan noise , the fan made a constant hissing noise in the background .|||B-AP O O O B-AP O O O O O O O O O
i believe this is because i was more active than the average user , meaning i average about three tabs .|||O O O O O O O O O O O O O O O O O O O O O
best buy rocks !|||O O O O
a couple things you should know ,|||O O O O O O O
bought the first asus laptop in san francisco , returned it in santa maria , thinking it was just a problem with that computer .|||O O O O O O O O O O O O O O O O O O O O O O O O O
the screen is bright and clear , the operating system is solid and friendly to a novice .|||O B-AP O O O O O O B-AP I-AP O O O O O O O O
it has a 1 ghz faster processor and a stock 500gb hard drive .|||O O O O O O B-AP O O O B-AP I-AP I-AP O
the feature are good enough for what i need .|||O B-AP O O O O O O O O
all the yada-yada .|||O O O O
finally , the biggest problem has been tech support .|||O O O O O O O B-AP I-AP O
this laptop is great for work and doing my pictures .|||O O O O O O O O O O O
i had the computer for a full year and it was a new computer .|||O O O O O O O O O O O O O O O
this is n't a big deal , i have n't noticed the issue with dvds or other media , only through usb output .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
i love it !|||O O O O
with windows laptops a wireless mouse is an absolute must .|||O O O O B-AP I-AP O O O O O
i had been a windows user before this i love the size because the screen is big enough for what i use it for internet , artwork , and yet it is small enough to be reasonably portable .|||O O O O B-AP O O O O O O B-AP O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
but if you 're willing to pay another 200 dollar for a windows disc .|||O O O O O O O O O O O O B-AP I-AP O
very good quality and well made .|||O O B-AP O O O O
i bought a logitech desktop set in anticipation for using with the mbp , but i use the touchpad 90 % of the time .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O
when calling dell for help , reurn , or a new computer they were not useful and left it up to myself to figure out what to do with it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
two of the times was in one month .|||O O O O O O O O O
so needless to day , i 'm not happy .|||O O O O O O O O O O
my niece and nephew have played a few web games and it runs anything that does n't require a dedicated video card .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
although i was promised about 10 hours , i found myself to a limited 7 hours which is still amazing .|||O O O O O O O O O O O O O O O O O O O O O
it had the full sized touch pad with 2 buttons instead of just one .|||O O O O O B-AP I-AP O O O O O O O O
it was also cheaper than the pro which made it even more appealing to me .|||O O O O O O O O O O O O O O O O
typically , when i purchase a new laptop i always end up using an external mouse for convenience .|||O O O O O O O O O O O O O O B-AP I-AP O O O
consumer report recommended toshiba .|||O O O O O
needless to say i told them no and have a nice day and hung up !|||O O O O O O O O O O O O O O O O
it was super easy to set up and is really easy to get used to .|||O O O O O B-AP I-AP O O O O O O O O O
the only thing that can be updated is the video , other than that you 're all set .|||O O O O O O O O O B-AP O O O O O O O O O
it was n't worth it .|||O O O O O O
its a good laptop for its value .|||O O O O O O B-AP O
and i babyed the heck out of it just one day when i opened it turned it on went to click and it was broke .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
probbly the worst decision we ever made !|||O O O O O O O O
then the hard drive failed ;|||O O B-AP I-AP O O
this computer literally takes about five minutes to start up and to be able to use without it crawling and i do mean crawling .|||O O O O O O O O O O O O O O O O O O O O O O O O O
i had less problems .|||O O O O O
it will be returned in the state to which it was shipped michigan .|||O O O O O O O O O O O O O O
plain and simple , itlaptop runs great and loads fast .|||O O O O O B-AP O O B-AP O O
this machine rocks !|||O O O O
of course my warranty runs out next month .|||O O O B-AP O O O O O
my next laptop will also be a mac !|||O O O O O O O O O
but not in this case .|||O O O O O O
taking notes , research , an online class and such and did n't want to spend too much on my first machine .|||O O O O O O O O O O O O O O O O O O O O O O O
the capabilities using that program alone made me want a mac .|||O O O O B-AP O O O O O O O
when i got this laptop in 2007 to help me with school , i had a hard time from beginning .|||O O O O O O O O O O O O O O O O O O O O O
i do not know for sure .|||O O O O O O O
no machine has come remotely close to causing as many problems .|||O O O O O O O O O O O O
every single one we 've gotten we 've had problems with .|||O O O O O O O O O O O O
it is the worst computer dell ever made .|||O O O O O O O O O
if you ever see the spinning beachball come up when you think it should n't , check the activity monitor app to see if the disk throughput has temporarily dropped to zero .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
i have found also , it is very easy to be able to access wireless internet access ;|||O O O O O O O O O O O O O O B-AP I-AP I-AP O
about 1/2 of the sites i need to visit because of my work contain some type of flash .|||O O O O O O O O O O O O O O O O O O O
this is a great value for the money .|||O O O O B-AP O O O O
it was a great laptop , ran great and was really fast .|||O O O O O O B-AP O O O O O O
the battery has never worked well .|||O B-AP O O O O O
return it .|||O O O
i can guarantee this will be the last dell i will ever purchase !|||O O O O O O O O O O O O O O
they said it was a computer error on this type of computer .|||O O O O O O O O O O O O O
i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the company .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O
my review mainly talks about the difference i have felt between an early 2011 and late 2011 mac book pro .|||O O O O O O O O O O O O O O O O O O O O O
that was a big mistake .|||O O O O O O
the only problem is a lack of screen resolutions !|||O O O O O O O B-AP I-AP O
small enough to use on a long flight , light enough to carry through airports and powerful enough to replace my desktop while on long business trips .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O
typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on .|||O O O B-AP O O O O O O O O O B-AP O O O O O O
if you are looking for a netbook pc do not buy from asus ! ! !|||O O O O O O O O O O O O O O O O
it has many great programs , such as ilife , iphotos and others .|||O O O O B-AP O O O B-AP O B-AP O O O
other thoughts , received replacement 16 days later .|||O O O O O O O O O
if the number of patrons in the apple store are any indication , hp and other pc manufacturers need to take note .|||O O O O O O O O O O O O O O O O O O O O O O O
the processor went on me , the fan went and the motherboard went .|||O B-AP O O O O O B-AP O O O B-AP O O
i bought my first macbook after seeing the product demonstrated .|||O O O O O O O O O O O
it is very well built .|||O O O O B-AP O
might not make the avid gamer happy but i do n't really think that is what this computer is designed for .|||O O O O O O O O O O O O O O O O O O O O O O
i highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door .|||O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
the screen resolution was exactly what i was looking for .|||O B-AP I-AP O O O O O O O O
even though it is running snow leopard , 24 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel .|||O O O O O B-AP I-AP O O O O O O O O O O B-AP O O O O B-AP I-AP O O O O B-AP I-AP I-AP O O B-AP O B-AP O
seriously why have n't they just replaced it by now .|||O O O O O O O O O O O
there is no number pad to the right of the keyboard which is a bummer .|||O O O O B-AP O O O O O B-AP O O O O O
after 20-30 min the screen of the notebook switched off .|||O O O O B-AP O O O O O O
if upgrade is possible to the full windows 7 , then i will truly be a very happy geek .|||O O O O O O O B-AP I-AP O O O O O O O O O O O
i have used both pcs and macs and i have to say that i really really love my mac book pro .|||O O O O O O O O O O O O O O O O O O O O O O
i was originally concerned that i could n't view work i had done in college on my mac because of the pc formatting , but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O B-AP O O O O O O O O O O O O O O
it is a big big , but since it has a 18.4" screen what would you expect !|||O O O O O O O O O O O B-AP I-AP O O O O O
i have never had an experience like this .|||O O O O O O O O O
we have n't had any problems with it at all .|||O O O O O O O O O O O
returned it to walmart .|||O O O O O
10 hours of battery life is really something else .|||O O O B-AP I-AP O O O O O
i love everything about it .|||O O O O O O
it 's slow and one day i hope to have the money to get rid of it and buy something else .|||O O O O O O O O O O O O O O O O O O O O O O
it meets all my needs for work and pleasure while traveling .|||O O O O O O O O O O O O
runs fast and the regular layout keyboard is so much better .|||B-AP O O O B-AP I-AP I-AP O O O O O
all was well .|||O O O O
all the programs are easy and straight forward on my macbook pro , it is clean and organized , which i always strive to be myself .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
he said quite a number of people had encountered this problem and said it is a common issue .|||O O O O O O O O O O O O O O O O O O O
not worth it one bit .|||O O O O O O
i just ca n't fathom that the celebrated dell would last a week in environment of free competition with normal products , it only survives b/c its substandard laptops are forced onto captive students and employees through question-raising programs .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
much of which hp ended up paying for .|||O O O O O O O O O
i reinstalled windows through the recovery discs and everything seemed good again .|||O O B-AP O O B-AP I-AP O O O O O O
windows 7 starter is terrific no you ca n't change the background but i do n't need to , i use it just for school work .|||B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O
support has been lackluster and now i just want a refund .|||B-AP O O O O O O O O O O O
first of all , they had no record of me having the 3 year warranty i 'd paid almost $ 400 for , and i had to call in , spend hours on their online chat service , and fax in multiple documents .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O
