i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
games being the main issue .|||B-AP O O O O O
my sister has the same mac as me and she is in a band and uses garageband to record and edit .|||O O O O O O O O O O O O O O O O B-AP O O O O O
they say that this will invalidate the warranty on the hard drive i do n't really understand why but anyway .|||O O O O O O O B-AP O O B-AP I-AP O O O O O O O O O
and looks very sexyy , d really the mac book pro is the best laptop specially for students in college if you are not caring about price .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
a great computer for light home use and business use .|||O O O O O B-AP I-AP O B-AP I-AP O
even with virus protection , it always turned off when updates were needed and installed .|||O O B-AP I-AP O O O O O O B-AP O O O O O
also consider the ms office apps are all trial versions , hope you have your own copies .|||O O O B-AP I-AP I-AP O O O O O O O O O O O O
even so , i like playing online games , so it was wonderful that there is a feature where i can dualboot windows .|||O O O O O O O B-AP O O O O O O O O O B-AP O O O O B-AP O
the battery life is amazingly long at 7hrs and 5hrs if you use it .|||O B-AP I-AP O O O O O O O O O O O O
lightweight , long battery life , excellent transition from pc ;|||O O O B-AP I-AP O O O O O O
the price is another driving influence that made me purchase this laptop .|||O B-AP O O O O O O O O O O O
the nortons virus scan is only for a very short time unlike others that usually are good for a year .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O
it is stamped and not in pieces therefore it is a stronger more resilient frame .|||O O O O O O O O O O O O O O B-AP O
i am first time mac buyer and am amazed at features and ease of use the mac offers .|||O O O O O O O O O O B-AP O O O B-AP O O O O
came fully loaded , good .|||O O B-AP O O O
i noticed windows has a new system called windows 7 , what about us vista users ? they should get all the bugs out of vista before investing in a new system .|||O O B-AP O O O O O B-AP I-AP O O O O B-AP O O O O O O O O O O B-AP O O O O O O O
when we bought our new hp comouter in dec of 2008 , we wanted windows xp , but were told it would cost an extra $ 159 , so we went with vista .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O B-AP O
the only thing that i have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O
i 'm still within the one year warranty but the repair "depot" has deemed that this time it was caused by physical abuse and is not covered .|||O O O O O O O B-AP O O B-AP I-AP O O O O O O O O O O O O O O O O
but i needed a laptop for school use .|||O O O O O O B-AP I-AP O
this is the complete opposite to an ergonomic design .|||O O O O O O O O B-AP O
i would like at least a 4 hr battery life .|||O O O O O O O O B-AP I-AP O
the only thing that i do n't like about my mac is that sometimes there are programs that i want to be able to run and i am not able to .|||O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O
wireless has not been a issue for me , like some others have meantioned .|||B-AP O O O O O O O O O O O O O O
macbook notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede .|||O O O O O O O O O B-AP I-AP O O O O O O O B-AP O O O O O O O O
all the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .|||O O O O O O O O B-AP O B-AP O O O O O B-AP O O O O O O O O O
i guess the only good thing that came out of these were the speakers and the subwoofer .|||O O O O O O O O O O O O O B-AP O O B-AP O
theres a built in camera with special effects for video and photography .|||O O B-AP I-AP I-AP O O O O O O O O
all for such a great price .|||O O O O O B-AP O
long story short , since i experience so many problems with my laptop every since i bought it from day one , i did n't ask for a new laptop or a refund of what i pay for a crapy laptop , but just an extension of my laptop warranty for another year , they made a big deal of out that and after so many calls and complaints about their products and services , they finally gave in .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it .|||O O O O O O O O O B-AP I-AP I-AP O O O B-AP O O O O O O O O O O
it has good speed and plenty of hard drive space .|||O O O B-AP O O O B-AP I-AP I-AP O
clear picture on it and everything .|||O B-AP O O O O O
they said that my computer was covered on an extended warranty , and that products with extended warranties are taken care of through third parties and not sony itself anymore .|||O O O O O O O O O B-AP I-AP O O O O O B-AP I-AP O O O O O O O O O O O O O
very long-life battery up to 10-11 hours depending on how you configure power level settings .|||O O B-AP O O O O O O O O O O O O O
screen is awesome , battery life is good .|||B-AP O O O B-AP I-AP O O O
the black model also has a very nice seamless appearance , one of the better looking notebooks i 've seen .|||O O O O O O O O O B-AP O O O O O O O O O O O
the technical service for dell is so 3rd world it might as well not even bother .|||O B-AP I-AP I-AP I-AP O O O O O O O O O O O O
the graphics were awful and the warranty is n't even worth the cheap payment on the computer .|||O B-AP O O O O B-AP O O O O O O O O O O O
they gave me a hard time yet again , but their was a malfunction in the battery itself , it did n't die .|||O O O O O O O O O O O O O O O O B-AP O O O O O O O
if you do n't feel comfortable doing it yourself , just buy the case and be happy , plus it looks nice , i bought the white one from best buy .|||O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .|||O O O O O O O O B-AP O O O O O B-AP O O O O O O O B-AP O O O B-AP O O O O O O O
excellent speed for processing data .|||O B-AP O O O O
when you call tech support you were routed to someone who was in another country and did not know what they were doing .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
it has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .|||O O O O O B-AP O O O O O O O O O O O O O O O O O B-AP O
i was taught to use photoshop and was amazed .|||O O O O O B-AP O O O O
somehow the system clock got messed up after reboot .|||O O B-AP I-AP O O O O O O
the only problem is that i had to add 1 gb ram , the computer was kinda slow .|||O O O O O O O O O O O B-AP O O O O O O O
the driver updates do n't fix the issue , very frustrating .|||O B-AP I-AP O O O O O O O O O
i will never go back to windows !|||O O O O O O B-AP O
it doesnt work worth a damn .|||O O B-AP O O O O
it works really well .|||O B-AP O O O
bigger hd , better graphics card , and a bid hd .|||O B-AP O O B-AP I-AP O O O O B-AP O
the built in camera is very useful when chatting with other techs in remote buildings on our campus .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O
mine came at $ 1,700 w/o a dvd burner ! .|||O O O O O O O B-AP I-AP O O
the dvd burner broke after burning 3 dvd 'd during that time !|||O B-AP I-AP O O O O O O O O O O
it works fine with our wireless and they 've had not problems .|||O B-AP O O O O O O O O O O O
but you must get the 15 inch .|||O O O O O B-AP I-AP O
product support very poor as each phone call costs me long distan|||B-AP I-AP O O O O O O O O O O
overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .|||O O O O O O O B-AP O O B-AP O O O O O O O O O O
the casing of the power cord fried and shocked my husband when he pulled it out of the socket .|||O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
it does not keep internet signals no matter where you bring it .|||O O O O B-AP I-AP O O O O O O O
it 's a great product for a great price !|||O O O O O O O O B-AP O
again , the same problem , the right speaker did not work .|||O O O O O O O B-AP I-AP O O O O
but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O B-AP O
and the multiple page viewer allows you to press one button to see every separate page currently opened at the same time in one screen are great for those who are working non stop or just shopping online .|||O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
this was the 3rd day and part still had not been shipped .|||O O O O O O O O O O O B-AP O
keyboard good sized and wasy to use .|||B-AP O O O O O B-AP O
hp said it was out of warranty .|||O O O O O O B-AP O
i never had this kind of quality issue with dell not to say dell is that great , not with a brand new laptop .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O O
wonderful features .|||O B-AP O
i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
im glad that it has such great features in it .|||O O O O O O O B-AP O O O
i like those programs better than office and you can save your files to be completely compatible with the office programs as well .|||O O O B-AP O O B-AP O O O O O O O O O O O O B-AP I-AP O O O
great wifi too .|||O B-AP O O
when typing , letters and spaces are frequently omitted requiring the user to redo many words and sentences .|||O B-AP O O O O O O O O O O O O O O O O O
only a few days after i received the computer back , the screen froze again .|||O O O O O O O O O O O O B-AP O O O
it is not ideal for children because of the temp .|||O O O O O O O O O B-AP O
although i do believe that windows operating system may be to fault for some of the problems .|||O O O O O B-AP I-AP I-AP O O O O O O O O O O
great os , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .|||O B-AP O O O O O O O O O O B-AP I-AP O O O B-AP I-AP O
the lcd screen stopped working on mine after 10 months .|||O B-AP I-AP O O O O O O O O
images are crisp and clean .|||B-AP O O O O O
although its windows vista compared to windows xp sucks .|||O O B-AP I-AP O O B-AP I-AP O O
we have had numerous problems with vista , such as adobe flash player just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been update probably 400 times , the same update .|||O O O O O O B-AP O O O B-AP I-AP I-AP O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O B-AP O O O O O O B-AP O
with the switch being at the top you need to memorize the key combination rather than just flicking a switch .|||O O B-AP O O O O O O O O O O O O O O O O B-AP O
one more tip , please purchase this model and get a 4gb stick of ram to save you $ 10|||O O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard !|||O O O O O O O O O O B-AP O O O O O O B-AP I-AP I-AP O O B-AP O
i always have used a tower home pc and jumped to the laptop and have been very satisfied with its performance .|||O O O O O O O O O O O O O O O O O O O O B-AP O
the computer runs very fast with no problems and the ilife software that comes with it iphoto , imovie , iweb , itunes , garageband is all very helpful as well .|||O O B-AP O O O O O O O B-AP I-AP O O O O B-AP O B-AP O B-AP O B-AP O B-AP O O O O O O O
at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again .|||O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
until i bought the dell , i thought you just looked for what you wanted size , software , options , hardware and purchase the best deal you could find .|||O O O O O O O O O O O O O O O B-AP O B-AP O O O B-AP O O O O O O O O O
it has plenty of memory , lots of hard drive , and great graphics .|||O O O O B-AP O O O B-AP I-AP O O O B-AP O
it did n't take me long to get switched over to the mac computer programs and navigation , it 's been just fine and like the way this laptop functions much better .|||O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O
however , my girlfriend realized that the netbook 's hinge is a bit loose when you open or close the lcd .|||O O O O O O O O O B-AP O O O O O O O O O O B-AP O
my problem was with dell customer service .|||O O O O B-AP I-AP I-AP O
newegg 's rma service was great as always , i contacted them late friday night , and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday .|||O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
design , very durable .|||B-AP O O O O
it is easy to go from one keyboard to another .|||O O O O O O O B-AP O O O
has a 5-6 hour battery life .|||O O O O B-AP I-AP O
my only issues are , 1 the screen/video resolution wo n't increase to a higher resolution then 1024 x 60|||O O O O O O O B-AP I-AP O O O O O O B-AP O O O O
i run dreamweaver , final cut pro 7 , photoshop , safari , firefox , msn messenger and a few other applications constantly at the same time .|||O O B-AP O B-AP I-AP I-AP I-AP O B-AP O B-AP O B-AP O B-AP I-AP O O O O B-AP O O O O O O
i was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the warrenty was up , then it got really bad .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O
ive had to call tech support many times .|||O O O O B-AP I-AP O O O
the apple applications exaspect1 are fun , easy , and really cool to use unlike the competition ! .|||O B-AP I-AP O O O O O O O O O O O O O O O O
not to mention it has shit gigs .|||O O O O O O B-AP O
i paid for extra memory and the 17-inch screen , as well as the top of the line dvd and cd burners .|||O O O O B-AP O O B-AP I-AP O O O O O O O O O B-AP O B-AP I-AP O
its pretty fast and does not have hiccups while i am using it for web browsing , uploading photos , watching movies 720p on occasion and creating presentations .|||O O O O O O O O O O O O O O B-AP I-AP O B-AP I-AP O B-AP I-AP O O O O B-AP I-AP O
quality display i love hp , , it 's the only computer/printer we will buy .|||B-AP I-AP O O O O O O O O O O O O O O
despite the inconvenient weight , i opted for the 12 cell battery .|||O O O B-AP O O O O O B-AP I-AP I-AP O
the case is carved out of a single block of aluminum .|||O B-AP O O O O O O O O O O
first it burned or fused the power adapter plug .|||O O O O O O B-AP I-AP I-AP O
the features are great , the only thing it needs is better speakers .|||O B-AP O O O O O O O O O O B-AP O
it was still working , but there was nothing on the screen .|||O O O O O O O O O O O B-AP O
i bought this laptop and found its tab is not functioning .|||O O O O O O O B-AP O O O O
toshiba is aware of the issue but unless the extended warrenty is bought toshiba will do nothing about it .|||O O O O O O O O O B-AP I-AP O O O O O O O O O
-called headquarters again , they report that tft panel is broken , should be fixed by the end of the week week 3 .|||O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O
navigation through the computer is far superior compared to windows operating systems , as well .|||B-AP O O O O O O O O B-AP I-AP I-AP O O O O
the screen is framed by half to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .|||O B-AP O O O O O O O O O O O O O O O B-AP O O O O B-AP O
though the picture , video , and music software is nowhere close to professional grade software im used to cs5 but does the job for beginner and even intermediate media designers .|||O O B-AP O B-AP O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O O O O O
the much lauded combined touch pad and clicker is a nightmare .|||O O O B-AP I-AP I-AP I-AP I-AP O O O O
the unibody construction is solid , sleek and beautiful .|||O B-AP I-AP O O O O O O O
this macbook is an outstanding product with great value .|||O O O O O O O O B-AP O
i had to re-install windows within two weeks of the purchase and soon discovered cracks in the screen hinges .|||O O O O B-AP O O O O O O O O O O O O B-AP I-AP O
a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service .|||O O O O O B-AP O O O O O O B-AP I-AP O O O O O O O O O O O O B-AP O
and plenty of storage with 250 gbthough i will upgrade this and the ram .|||O O O B-AP O O O O O O O O O B-AP O
no temporary replacement , they are out of replacements because many computers had problems with the nvidia chipset status of repair .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O O
i took it to friend who temporarily fixed it and i finally paid about 1500 for the extended warranty .|||O O O O O O O O O O O O O O O O O B-AP I-AP O
programs would crash all the time , and it turned out to be a very unstable , unreliable laptop for me .|||B-AP O O O O O O O O O O O O O O O O O O O O O
i bought this lap top and the charge time dose n't last as long as they say it will more like 2 hours|||O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
also , because of the size and consistancy of the laptop computer , some websites would n't even attempt to work on the computer because of browser problems .|||O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O O
the key bindings take a little getting used to , but have loved the macbook pro .|||O B-AP I-AP O O O O O O O O O O O O O O
keyboard is reasonable size .|||B-AP O O B-AP O
i find myself using the 10-key more than i thought i would .|||O O O O O B-AP O O O O O O O
fan noise , the fan made a constant hissing noise in the background .|||B-AP O O O B-AP O O O O O O O O O
the screen is bright and clear , the operating system is solid and friendly to a novice .|||O B-AP O O O O O O B-AP I-AP O O O O O O O O
it has a 1 ghz faster processor and a stock 500gb hard drive .|||O O O O O O B-AP O O O B-AP I-AP I-AP O
the feature are good enough for what i need .|||O B-AP O O O O O O O O
finally , the biggest problem has been tech support .|||O O O O O O O B-AP I-AP O
this is n't a big deal , i have n't noticed the issue with dvds or other media , only through usb output .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
with windows laptops a wireless mouse is an absolute must .|||O O O O B-AP I-AP O O O O O
i had been a windows user before this i love the size because the screen is big enough for what i use it for internet , artwork , and yet it is small enough to be reasonably portable .|||O O O O B-AP O O O O O O B-AP O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
but if you 're willing to pay another 200 dollar for a windows disc .|||O O O O O O O O O O O O B-AP I-AP O
very good quality and well made .|||O O B-AP O O O O
i bought a logitech desktop set in anticipation for using with the mbp , but i use the touchpad 90 % of the time .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O
my niece and nephew have played a few web games and it runs anything that does n't require a dedicated video card .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
it had the full sized touch pad with 2 buttons instead of just one .|||O O O O O B-AP I-AP O O O O O O O O
typically , when i purchase a new laptop i always end up using an external mouse for convenience .|||O O O O O O O O O O O O O O B-AP I-AP O O O
it was super easy to set up and is really easy to get used to .|||O O O O O B-AP I-AP O O O O O O O O O
the only thing that can be updated is the video , other than that you 're all set .|||O O O O O O O O O B-AP O O O O O O O O O
its a good laptop for its value .|||O O O O O O B-AP O
then the hard drive failed ;|||O O B-AP I-AP O O
plain and simple , itlaptop runs great and loads fast .|||O O O O O B-AP O O B-AP O O
of course my warranty runs out next month .|||O O O B-AP O O O O O
the capabilities using that program alone made me want a mac .|||O O O O B-AP O O O O O O O
if you ever see the spinning beachball come up when you think it should n't , check the activity monitor app to see if the disk throughput has temporarily dropped to zero .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
i have found also , it is very easy to be able to access wireless internet access ;|||O O O O O O O O O O O O O O B-AP I-AP I-AP O
this is a great value for the money .|||O O O O B-AP O O O O
it was a great laptop , ran great and was really fast .|||O O O O O O B-AP O O O O O O
the battery has never worked well .|||O B-AP O O O O O
i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the company .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O
the only problem is a lack of screen resolutions !|||O O O O O O O B-AP I-AP O
small enough to use on a long flight , light enough to carry through airports and powerful enough to replace my desktop while on long business trips .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O
typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on .|||O O O B-AP O O O O O O O O O B-AP O O O O O O
it has many great programs , such as ilife , iphotos and others .|||O O O O B-AP O O O B-AP O B-AP O O O
the processor went on me , the fan went and the motherboard went .|||O B-AP O O O O O B-AP O O O B-AP O O
it is very well built .|||O O O O B-AP O
i highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door .|||O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
the screen resolution was exactly what i was looking for .|||O B-AP I-AP O O O O O O O O
even though it is running snow leopard , 24 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel .|||O O O O O B-AP I-AP O O O O O O O O O O B-AP O O O O B-AP I-AP O O O O B-AP I-AP I-AP O O B-AP O B-AP O
there is no number pad to the right of the keyboard which is a bummer .|||O O O O B-AP O O O O O B-AP O O O O O
after 20-30 min the screen of the notebook switched off .|||O O O O B-AP O O O O O O
if upgrade is possible to the full windows 7 , then i will truly be a very happy geek .|||O O O O O O O B-AP I-AP O O O O O O O O O O O
i was originally concerned that i could n't view work i had done in college on my mac because of the pc formatting , but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O B-AP O O O O O O O O O O O O O O
it is a big big , but since it has a 18.4" screen what would you expect !|||O O O O O O O O O O O B-AP I-AP O O O O O
10 hours of battery life is really something else .|||O O O B-AP I-AP O O O O O
runs fast and the regular layout keyboard is so much better .|||B-AP O O O B-AP I-AP I-AP O O O O O
all the programs are easy and straight forward on my macbook pro , it is clean and organized , which i always strive to be myself .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
i reinstalled windows through the recovery discs and everything seemed good again .|||O O B-AP O O B-AP I-AP O O O O O O
windows 7 starter is terrific no you ca n't change the background but i do n't need to , i use it just for school work .|||B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O
support has been lackluster and now i just want a refund .|||B-AP O O O O O O O O O O O
first of all , they had no record of me having the 3 year warranty i 'd paid almost $ 400 for , and i had to call in , spend hours on their online chat service , and fax in multiple documents .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O
> iphoto is probably the best program i have ever worked with , easy and convenient .|||O B-AP O O O O O O O O O O O O O O O
i love to write and play with graphics and html programming and my new toshiba works great on both !|||O O O O O O O O O O O O O O O B-AP O O O O
my laptop now has no battery .|||O O O O O B-AP O
beta had better quality , but vhs became the industry standard .|||O O O B-AP O O B-AP O O O O O
it made the computer much easier to use and navigate .|||O O O O O O O B-AP O B-AP O
, -if you buy this , do n't go into it expecting 7 hrs of battery life , and you 'll be perfectly satisfied .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O
needs longer lasting battery , more than 1 to 2 hrs .|||O O O B-AP O O O O O O O O
in may i started having problems with the usb ports not working .|||O O O O O O O O B-AP I-AP O O O
10 plus hours of battery .|||O O O O B-AP O
the design is awesome , quality is unprecedented .|||O B-AP O O O B-AP O O O
the mac version of microsoft office is cheaper than buying the actual and works just as well .|||O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O
the mac takes about the same amount of starting-up time as the average pc , but keeps itself cleaned up and ready to use .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O
the toshiba net book operates very well .|||O O O O B-AP O O O
the touch pad is fine , again , it 's a real touch pad .|||O B-AP I-AP O O O O O O O O O B-AP I-AP O
the pictures are clear as can be .|||O B-AP O O O O O O
it is also very lightweight , making transporting this computer very easy .|||O O O O O O O B-AP O O O O O
it 's wonderful for computer gaming .|||O O O O O B-AP O
you have to toss out the wifi card and replace it just to have any sort of network capability .|||O O O O O O B-AP I-AP O O O O O O O O O B-AP I-AP O
and the best part is that it even comes with a free printer when they have a certain promotion/offer going , of course !|||O O O O O O O O O O O O B-AP O O O O O O O O O O O
it is very easy for anyone to use an apple and specially the mcbook pro notebook .|||O O O O O O O B-AP O O O O O O O O O
the flaws are , this computer is not for computer gamers because of the os x .|||O O O O O O O O O O O O O O B-AP I-AP O
they really do have the worlds very worst repair service .|||O O O O O O O O B-AP I-AP O
they need to stop outsoucing and send some complaint calls to us based customer service agents for those who live in the united states .|||O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O
i was also able to install and use my photoshop and aftereffects programs easily .|||O O O O O O O O O B-AP O B-AP I-AP O O
it 's perfect for everything and runs faster than an average pc !|||O O O O O O B-AP O O O O O O
then after paying for it to be examined i was told it was same problem cited on website but i 'd have to pay anyways since it was past warrenty .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
i 'm already hooked on the sleek look and dependability that this laptop has shown .|||O O O O O O O B-AP O B-AP O O O O O O
and having to deal with the company has been a even worse nightmare .|||O O O O O O B-AP O O O O O O O
i will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when i do so i do n't run accross a situation like this again !|||O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
it has all the features that are necessary for college and if not they are able to be added onto the computer .|||O O O O B-AP O O O O O O O O O O O O O O O O O O
i 've owned this labtop for less then two months , already the mouse button has broke .|||O O O O O O O O O O O O O B-AP I-AP O O O
it did fairly well , other than it 's poor performance , overheating and occational blue screen .|||O O O O O O O O O O B-AP O O O O O O O
the touchpad is very intuitive , so much so that i never want to use buttons to click again !|||O B-AP O O O O O O O O O O O O O B-AP O O O O
tons of bloatware and junk programs .|||O O O O O B-AP O
lots of extra space but the keyboard is ridiculously small .|||O O O B-AP O O B-AP O O O O
it 's so bad that i 'm thinking i only got half a battery or something .|||O O O O O O O O O O O O O B-AP O O O
good keyboard , long battery life , largest hard drive and windows 7 .|||O B-AP O O B-AP I-AP O O B-AP I-AP O B-AP I-AP O
the processor is very quick and effective as i load webpages and applications .|||O B-AP O O O O O O O B-AP I-AP O B-AP O
my battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars !|||O B-AP O O O O O O O O O O O O O O O O O O O O O
it pretty much does everything we could ever need , and looks great to boot .|||O O O O O O O O O O O O O O B-AP O
as a lifelong windows user , i was extremely pleased to make the change to mac .|||O O O B-AP O O O O O O O O O O O O O
the macbook is also made better , my computer has never got a virus , and the laptop runs just as fast as the first day i bought it .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O
i wiped nearly everything off of it , installed openoffice and firefox , and i am operating an incredibly efficient and useful machine for a great price .|||O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O B-AP O
overall i feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .|||O O O O O O O B-AP O O O B-AP O O O O O O B-AP I-AP O O O O O
i picked it out becaaspect0 it was inexpensive $ 400 and i thought it would be a good , easy to use first laptop .|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O
my only problem is i can not reg the product key .|||O O O O O O O O O B-AP I-AP O
pay attention to the specs if you want these options .|||O O O O B-AP O O O O O O
it also does not have bluetooth .|||O O O O O B-AP O
sure it has the one touch keys but that was the best feature of the computer .|||O O O O B-AP I-AP I-AP O O O O O B-AP O O O O
great battery life .|||O B-AP I-AP O
the real stand out on this computer is the feel of the keyboard and it 's speed .|||O O O O O O O O O O O O B-AP O O O B-AP O
at first , the computer seemed a great deal -- seemingly high-end specs for a low , low price .|||O O O O O O O O O O O O B-AP O O O O O B-AP O
delivery was early too .|||B-AP O O O O
love the stability of the mac software and operating system .|||O O B-AP O O B-AP I-AP O B-AP I-AP O
and that probably explains why i 've already had my sata controller go bad within a year of buying it .|||O O O O O O O O O O B-AP I-AP O O O O O O O O O
it 's also very capable of doing moderate video editing although you may need the performance boost of the larger macbook pros for heavy duty mobile video editing .|||O O O O O O O O B-AP I-AP O O O O O B-AP O O O O O O O O O O B-AP I-AP O
my main reason to convert was the imovie program .|||O O O O O O O B-AP I-AP O
it has a faster processor and more ram .|||O O O O B-AP O O B-AP O
laptops are usually used on the go , so why not give you a better battery ?|||O O O O O O O O O O O O O O O B-AP O
i will never complain about the price since i believe you get what you pay for and my macbook pro was worth every dollar .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O O
i was n't a big fan of the netbooks but this one was very well designed .|||O O O O O O O O O O O O O O O B-AP O
and the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles .|||O O B-AP O O O O O O O O O O O O O O O O
i still have that stupid bluetooth mouse to !|||O O O O O B-AP I-AP O O
would like more trendy , high tech features .|||O O O O O O O B-AP O
keyboard is great but primary and secondary control buttons could be more durable .|||B-AP O O O O O O B-AP I-AP O O O O O
screen is a bit glossy , but that 's not too bad .|||B-AP O O O O O O O O O O O O
i got it back again and was told the motherboard had been replaced , so i was now on the second motherboard within 3 months .|||O O O O O O O O O B-AP O O O O O O O O O O O B-AP O O O O
processor , when compared to my 3 week old early 2011 edition there i barely experience any difference in performance 23 ghz v/s 24 ghz .|||B-AP O O O O O O O O O O O O O O O O O O B-AP O O O O O O
they say it could be the motherboard again , but dell|||O O O O O O B-AP O O O O
2nd best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O
love the speed , especially !|||O O B-AP O O O
it could be a perfect laptop if it would have faster system memory and its radeon 5850 would have ddr5 instead of ddr3 .|||O O O O O O O O O O O B-AP I-AP O O B-AP I-AP O O B-AP O O B-AP O
not only are the versions of these programs able to be saved , worked on and opened on both a pc and mac , the versions of these programs on a mac are graphically and functionally superior .|||O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O
the speed gives you the power to work on these projects seamlessly , and multiple at a time if you sowish .|||O B-AP O O O O O O O O O O O O O O O O O O O O
awesome laptop and the perfect size to carry around in college .|||O O O O O B-AP O O O O O O
a month later , we reinstall the os (vista) .|||O O O O O O O B-AP I-AP O
